,id,date,time,code,name,deal_type,nav_unit,nav_acc,volume,deal_money,fee,occur_money,account,category1,category2,category3,category_id,note
0,1,2020-02-03,09:53:57,162411,华宝油气,买入,0.36,0.36,35500.0,12780.0,1.28,12781.28,华宝证券,商品,商品,原油,613,无
1,2,2020-02-03,11:26:14,515180,100红利,买入,0.906,0.906,2700.0,2446.2,0.24,2446.44,华宝证券,A 股,红利价值,中证红利,131,无
2,3,2020-02-10,09:59:08,515180,100红利,卖出,0.957,0.957,2400.0,2296.8,0.23,2296.57,华宝证券,A 股,红利价值,中证红利,131,无
3,4,2020-02-28,09:30:40,159920,恒生ETF,买入,1.446,1.446,1700.0,2458.2,0.25,2458.45,华宝证券,海外新兴,香港,恒生,211,无
4,5,2020-03-09,09:39:44,159920,恒生ETF,买入,1.384,1.384,1800.0,2491.2,0.25,2491.45,华宝证券,海外新兴,香港,恒生,211,无
5,6,2020-03-11,13:41:39,513520,日经ETF,买入,0.969,0.969,2600.0,2519.4,0.25,2519.65,华宝证券,海外成熟,日本,日经225,331,无
6,7,2020-03-12,10:05:12,162411,华宝油气,卖出,0.238,0.238,35500.0,8449.0,0.84,8448.16,华宝证券,商品,商品,原油,613,无
7,8,2020-03-16,00:00:00,160416,石油基金,买入,0.608,0.608,13896.0,8448.77,0.0,8448.77,华宝证券,商品,商品,原油,613,无
8,9,2020-03-17,09:59:01,513520,日经ETF,买入,0.825,0.825,3000.0,2475.0,0.25,2475.25,华宝证券,海外成熟,日本,日经225,331,无
9,10,2020-03-19,09:53:52,159920,恒生ETF,买入,1.243,1.243,2000.0,2486.0,0.25,2486.25,华宝证券,海外新兴,香港,恒生,211,无
10,11,2020-03-19,09:55:44,513520,日经ETF,买入,0.813,0.813,3100.0,2520.3,0.25,2520.55,华宝证券,海外成熟,日本,日经225,331,无
11,12,2020-03-19,10:10:37,513520,日经ETF,买入,0.807,0.807,6200.0,5003.4,0.5,5003.9,华宝证券,海外成熟,日本,日经225,331,无
12,13,2020-03-19,10:19:06,159920,恒生ETF,买入,1.234,1.234,4100.0,5059.4,0.51,5059.91,华宝证券,海外新兴,香港,恒生,211,无
13,14,2020-03-19,10:58:35,515180,100红利,买入,0.906,0.906,2700.0,2446.2,0.24,2446.44,华宝证券,A 股,红利价值,中证红利,131,无
14,15,2020-03-25,09:31:15,513520,日经ETF,卖出,0.874,0.874,2900.0,2534.6,0.25,2534.35,华宝证券,海外成熟,日本,日经225,331,无
15,16,2020-04-08,13:18:53,513520,日经ETF,卖出,0.923,0.923,3000.0,2769.0,0.28,2768.72,华宝证券,海外成熟,日本,日经225,331,无
16,17,2020-04-10,14:56:23,512580,环保ETF,买入,0.754,0.754,3300.0,2488.2,0.25,2488.45,华宝证券,A 股,行业股,中证环保,143,无
17,18,2020-04-10,14:54:07,512980,传媒ETF,买入,0.808,0.808,3100.0,2504.8,0.25,2505.05,华宝证券,A 股,行业股,中证传媒,144,无
18,19,2020-04-17,09:46:31,512980,传媒ETF,卖出,0.833,0.833,2900.0,2415.7,0.24,2415.46,华宝证券,A 股,行业股,中证传媒,144,无
19,20,2020-04-27,14:47:32,159920,恒生ETF,卖出,1.358,1.358,6100.0,8283.8,0.83,8282.97,华宝证券,海外新兴,香港,恒生,211,无
